"","x","y"
"312",17.70989794,62.14829189
"313",17.55277222,62.05757268
"314",17.43187156,61.86287688
"315",17.57443694,61.7355078
"316",17.59436229,61.7110257
"317",17.60566389,61.68155256
"318",17.60721564,61.65002504
"319",17.59886295,61.61958452
"320",17.58143805,61.59326408
"321",17.55667716,61.57368627
"322",17.52704743,61.5628018
"323",17.49550115,61.56169519
"324",17.33506577,61.58159836
"325",17.33150547,61.56687517
"326",17.31490077,61.54109268
"327",17.31015338,61.51746105
"328",17.29591282,61.49124917
"329",17.2745742,61.47040404
"330",17.25375691,61.45971728
"331",17.33046839,61.36766524
"332",17.34683981,61.33991002
"333",17.3535343,61.30838924
"334",17.34985672,61.27637594
"335",17.33618894,61.24719431
"336",17.31395019,61.22387449
"337",17.28544968,61.20883797
"338",17.26752557,61.20591182
"339",17.33522702,61.04700877
"340",17.3426813,61.0182634
"341",17.34136525,60.98859641
"342",17.33139493,60.96062401
"343",17.318763,60.94367427
"344",17.41086906,60.87583021
"345",17.43337078,60.85282483
"346",17.44740065,60.82386385
"347",17.45150575,60.79194641
"348",17.44526098,60.76037779
"349",17.43785084,60.74739066
"350",17.6730545,60.72615511
"351",17.70604727,60.71731967
"352",17.73414214,60.69789634
"353",17.75406161,60.67015104
"354",17.76337085,60.63770748
"355",17.96152472,60.69916131
"356",17.99720968,60.70346514
"357",18.03211126,60.69487334
"358",18.06172039,60.67449594
"359",18.30542989,60.43172381
"360",18.31182494,60.51050898
"361",18.31980021,60.54231433
"362",18.33763459,60.56983014
"363",18.36341057,60.59009796
"364",18.39435674,60.60093861
"365",18.42714582,60.60118652
"366",18.45825238,60.59081505
"367",18.48433187,60.57093931
"368",18.67231443,60.37112165
"369",18.69058594,60.34382767
"370",18.69902882,60.3120861
"371",18.69673224,60.27932125
"372",18.69576147,60.2770247
"373",18.71689034,60.2536161
"374",18.72975992,60.22399747
"375",18.73251897,60.19182174
"376",18.72570576,60.16383733
"377",19.12776552,59.96597489
"378",19.15420795,59.94707497
"379",19.17319241,59.92069317
"380",19.18271336,59.88961647
"381",19.18176499,59.85712786
"382",19.17044749,59.82665946
"383",19.16138085,59.8154962
"384",19.17153449,59.80490413
"385",19.18526439,59.77586493
"386",19.18907927,59.74397085
"387",19.1825855,59.71251268
"388",19.1664531,59.68473623
"389",19.1423466,59.66350743
"390",19.11275327,59.65101663
"391",18.91351993,59.60266399
"392",18.9169306,59.59860909
"393",18.92864574,59.57009018
"394",18.93111642,59.53935797
"395",18.92410778,59.50933378
"396",18.90828602,59.48287163
"397",18.88515514,59.46248694
"398",18.85691389,59.45011743
"399",18.69190296,59.40656509
"400",18.76238534,59.36416021
"401",18.78558873,59.34489218
"402",18.8019919,59.31958229
"403",18.81010272,59.29053287
"404",18.8091834,59.26038641
"405",18.79931755,59.23188519
"406",18.78140263,59.20762185
"407",18.75706827,59.1898035
"408",18.72852807,59.180051
"409",18.6983782,59.17925149
"410",18.56488327,59.19600796
"411",18.56930265,59.18285426
"412",18.57008599,59.15320246
"413",18.56213677,59.12462533
"414",18.54615441,59.0996372
"415",18.52354511,59.08043663
"416",18.49629812,59.06871297
"417",18.07939168,58.95893593
"418",18.01693154,58.7691532
"419",18.00146487,58.7397819
"420",17.97723582,58.71709171
"421",17.94691418,58.70358285
"422",17.91384106,58.70074384
"423",17.88166075,58.70888752
"424",17.8563675,58.72550774
"425",17.85479394,58.72365124
"426",17.82775704,58.70709901
"427",17.79689776,58.6998412
"428",17.76531739,58.70260719
"429",17.73618966,58.715119
"430",17.71244181,58.73611925
"431",17.69646044,58.76349745
"432",17.68985162,58.79450219
"433",17.68620505,58.86617473
"434",17.66760727,58.84985959
"435",17.64037596,58.83767694
"436",17.60189892,58.82698872
"437",17.61239924,58.79773985
"438",17.6133907,58.7665988
"439",17.60474992,58.73666412
"440",17.58731572,58.71084172
"441",17.56278052,58.69163829
"442",17.53352606,58.68091801
"443",16.99360426,58.57437235
"444",16.99714699,58.573213
"445",17.02340578,58.55338234
"446",17.04180647,58.52610242
"447",17.05035668,58.49432707
"448",17.0481306,58.46149684
"449",17.03536927,58.43116653
"450",17.01345446,58.40662024
"451",16.98475906,58.39051579
"452",16.95239015,58.38459694
"453",16.93634881,58.38434703
"454",16.95348565,58.37439389
"455",16.97503169,58.34953605
"456",16.98734609,58.31903197
"457",16.98909624,58.2861826
"458",16.98009277,58.25454273
"459",16.96130996,58.22753625
"460",16.95890769,58.22577499
"461",16.965298,58.21570187
"462",16.97288317,58.18296573
"463",16.96919601,58.14956521
"464",16.95465287,58.11927187
"465",16.93089594,58.09550639
"466",16.88969548,58.06629407
"467",16.89991436,58.05275747
"468",16.91014336,58.02197687
"469",16.91009215,58.01164792
"470",16.91238269,58.00081407
"471",16.90884009,57.9691652
"472",16.87050429,57.83138978
"473",16.85866072,57.80471413
"474",16.83961922,57.78259441
"475",16.81500187,57.76691491
"476",16.80874589,57.76515507
